Term	Instance	Annotation
Gesetz	Das hänge vor allem mit der Tabuisierung von Schwangerschaftsabbrüchen und der Gesetzeslage zusammen, die Abtreibungen grundsätzlich verbietet.	C
Gesetz	Ein Sprecher des Obersten Gerichts in Warschau sagte dem Nordkurier: „Spätestens am Montag, den 2. November, soll es im Gesetzesblatt der Polnischen Republik, dem Dziennik Ustaw, veröffentlicht werden.“	C
Gesetz	Nur die im Gesetzblatt oder im Amtsblatt veröffentlichten Rechtsakte sind demnach rechtsgültig.	C
Gesetz	Die linke Politikerin Marta Stozek glaubt zum Beispiel nicht, dass das Gesetzesblatt heute erscheint.	O
Gesetz	„Normalerweise dauert es nach einem Gerichtsbeschluss nur wenige Stunden, bis das Gesetzblatt veröffentlicht wird.“	C
Gesetz	Der kündigte am Freitag an, dass ein neues Gesetz denkbar wäre, das Abtreibungen zulässt, wenn das Kind nach der Geburt nicht lebensfähig wäre.	C
Gesetz	Mehr als 100 Abgeordnete, überwiegend aus den Reihen der Regierungspartei Recht und Gerechtigkeit (PiS), hatten sich mit ihrer Kritik an der Gesetzeslage an das höchste Gericht gewandt.	C
Gesetz	Die Organisation geht davon aus, dass jedes Jahr 120 000 bis 150 000 polnische Frauen in Nachbarländer ausweichen, in denen es liberalere Gesetzgebungen gibt.	C
Gesetz	Unter Biden drohen also Gesetze wie die von Trump eingesetzte „Mexico-City-Policy“ wieder ausgehebelt zu werden.	X
Gesetz	Unter den Begriff „Lebensschutz“ würden für ihn auch Gesetzesinitiativen für soziale Gerechtigkeit fallen.	O
Gesetz	Charakterliche Schwächen hin oder her, es ist nicht von der Hand zu weisen, dass unter seiner Ägide zahlreiche Gesetzesinitiativen zum Lebensschutz ergriffen wurden.	O
Gesetz	Während dieser Zeit unterschrieb er mehrere Gesetzentwürfe, die darauf abzielten, Abtreibungen einzuschränken.	C
Gesetz	Ein Gesetzesvorschlag des regierungsnahen Staatspräsidenten Andrej Duda für eine Regelung, die Abtreibungen bei lebensgefährlichen Fehlbildungen erlauben, bei Gendefekten wie dem sogenannten Down Syndrom jedoch verbieten würde, dürfte aus Sicht von Beobachtern nicht ausreichen, um die Wogen zu glätten.	X
Gesetz	Gesetzesvorstöße zur Verschärfung der Regeln hatten in der Vergangenheit immer wieder zu Massenprotesten von Frauengruppen und sympathisierenden Männern geführt und wurden letztlich nie verabschiedet.	C
Gesetz	Die Abbruchrate ist in Ländern mit sehr strengen Gesetzen nicht niedriger als in Ländern mit liberaler Gesetzgebung.	C
Gesetz	Schwangerschaftsabbruch Gesetzliche Regelung	X
Gesetz	Das Recht auf Leben ist ein grundlegendes Menschenrecht, das erste Gesetz, das die Anwendung aller anderen Rechte bedingt und insbesondere die Rechtswidrigkeit aller Formen von Abtreibung und Sterbehilfe zeigt.	X
Gesetz	1 Punkt 2 des Gesetzes vom 7.	C
Gesetz	Das Recht auf Leben ist daher ein grundlegendes Menschenrecht, das erste Gesetz, das die Anwendung aller anderen Rechte bestimmt und insbesondere die Rechtswidrigkeit aller Formen von Abtreibung und Sterbehilfe demonstriert.	X
Gesetz	Aus diesem Grund könnte beispielsweise eine Medienkampagne, die das moderne Leben konsequent als höchsten Wert fördert, möglicherweise sozial wirksamer sein als alle Gesetze und Urteile des Tribunals zusammen, obwohl die Medien systematisch in die entgegengesetzte Richtung werben.	X
