Term	Instance	Annotation
Schwangerschaft	Symbolbild: Positiver Schwangerschaftstest Foto: ratmaner via www.imago-images.de (http://www.imago-images.de/)	X
Schwangerschaft	Dazu gehort in Deutschland auch eine Scheinvergabe nach § 7 SchKG durch katholische Schwangerschaftsberatungsstellen.	X
Schwangerschaft	3352 Frauen in Brandenburg haben im Jahr einen Schwangerschaftsabbruch durchführen lassen.	C
Schwangerschaft	Das hänge vor allem mit der Tabuisierung von Schwangerschaftsabbrüchen und der Gesetzeslage zusammen, die Abtreibungen grundsätzlich verbietet.	X
Schwangerschaft	Beratungsstellen müssten ihr Angebot einschränken, parallel sei davon auszugehen, dass sich angesichts der gestiegenen Zahl von Fällen häuslicher Gewalt in der Corona-Zeit auch die Zahl ungewollter Schwangerschaften erhöhe.	U
Schwangerschaft	Der heutige „Safe Abortion Day“ solle Abtreibungen entkriminalisieren, sagt Burkard vom Potsdamer Frauenzentrum: „Langfristig wünschen wir uns, dass der Schwangerschaftsabbruch aus dem Strafgesetzbuch verschwindet.“	O
Schwangerschaft	Seitdem dürfen Ärzte, Krankenhäuser und andere medizinische Einrichtungen auf die Tatsache aufmerksam machen, dass sie Schwangerschaftsabbrüche durchführen.	C
Schwangerschaft	Auf Seite 58 des Dokuments sind mehrere Potsdamer Gynäkologinnen aufgelistet, die Schwangerschaftsabbrüche durchführen.	C
Schwangerschaft	Auch die Potsdamer Stadtverwaltung informiert auf ihrer Internetseite über Schwangerschaftsabbrüche und stellt eine Liste mit entsprechenden Arztpraxen zusammen, die online zugänglich sein soll.	C
Schwangerschaft	Ein Problem sei zudem, dass es immer weniger Praxen gebe, die Schwangerschaftsabbrüche überhaupt durchführen, sagt Richter.	C
Schwangerschaft	Wann immer sich jemand öffentlich zum Thema Schwangerschaftsabbruch äußert, ist ihm die Aufmerksamkeit meist garantiert.	C
Schwangerschaft	Sie hatten eine Idee, wie es Frauen leichter gemacht werden soll, die Schwangerschaft abzubrechen.	U
Schwangerschaft	„Ob wir etwa Neueinstellungen davon abhängig machen können, dass Ärzte und Ärztinnen bereit sind, Schwangerschaftsabbrüche durchzuführen.“	U
Schwangerschaft	Die Grünen schlagen vor, Neueinstellungen von Medizinern an Uni-Kliniken von der Bereitschaft abhängig zu machen, Schwangerschaftsabbrüche vorzunehmen.	C
Schwangerschaft	Zwar könnten einzelne Ärztinnen oder Ärzte könnten nicht zum Schwangerschaftsabbruch verpflichtet werden.	C
Schwangerschaft	Die Bundestagsabgeordnete Kirsten Kappert-Gonther, Sprecherin der Grünen für Gesundheitsförderung, begründete den Vorstoß mit fehlenden Möglichkeiten für Schwangerschaftsabbrüche in Deutschland: "Wenn Uni-Kliniken bevorzugt Ärztinnen und Ärzte einstellen, die in der Lage sind, Schwangerschaftsabbrüche vorzunehmen, kann das ein Beitrag für eine bessere Versorgungslage sein", sagte sie der "Welt".	O
Schwangerschaft	Dem Statistischen Bundesamt zufolge wurden im ersten Quartal 2020 rund 26.500 Schwangerschaftsabbrüche in Deutschland gemeldet.	C
Schwangerschaft	Dem "Welt"-Bericht zufolge, der sich ebenfalls auf Zahlen der Behörde beruft, ist die Zahl der Arztpraxen und Kliniken, die Schwangerschaftsabbrüche durchführen, zwischen 2003 und 2018 um rund 40 Prozent auf etwa 1200 Stellen gesunken.	C
Schwangerschaft	Das Verfassungsgericht in Warschau erklärte am Donnerstag Schwangerschaftsabbrüche aufgrund schwerer Fehlbildungen für verfassungswidrig.	C
Schwangerschaft	Im Jahr 2019 wurden in polnischen Krankenhäusern nur rund 1100 Schwangerschaftsabbrüche ausgeführt - in 97 Prozent der Fälle aufgrund des nun für rechtswidrig erklärten Paragrafen.	C
