Term	Instance	Annotation
Vergewaltigung	Legal sind sie aktuell nur noch, wenn das Leben der Frau in Gefahr ist oder sie durch Vergewaltigung oder Inzest schwanger geworden ist.	C
Vergewaltigung	Schwangerschaftsabbrüche bleiben nach Vergewaltigungen möglich - oder wenn das Leben oder die Gesundheit der Mutter in Gefahr sind.	C
Vergewaltigung	Erlaubt wären nach dem Urteil nur noch Abtreibungen in Fällen, in denen eine Lebensgefahr für die Mutter besteht sowie bei Verbrechen - etwa nach Vergewaltigungen oder Fällen von Inzest.	C
Vergewaltigung	Abtreibung nur bei Lebensgefahr und Vergewaltigung	X
Vergewaltigung	Das Urteil kommt einem Totalverbot von Abtreibungen sehr nahe, die nun nur noch bei Lebensgefahr für die Mutter sowie nach Vergewaltigungen legal durchgeführt werden können.	C
Vergewaltigung	Die «Babyfabriken» von Menschenhändlern in Nigeria, die systematische Vergewaltigung von Jesidinnen oder aktuell die zum Gebären gezwungenen Polinnen – der weibliche Körper ist Austragungsort ideologischer Feldzüge.	C
Vergewaltigung	Schwangerschaftsabbrüche sind in Brasilien nach einer Vergewaltigung und bei Gefahr für das Leben der Mutter gesetzlich erlaubt.	C
Vergewaltigung	Sara Winter hat die Identität des zehnjährigen Vergewaltigungsopfers öffentlich gemacht	C
Vergewaltigung	Bislang war ein Abbruch in Polen legal, wenn die Schwangerschaft das Leben oder die Gesundheit der Mutter gefährdet, Ergebnis einer Vergewaltigung ist oder wenn das Ungeborene schwere Fehlbildungen aufweist.	C
Vergewaltigung	bei bestimmten medizinischen, wirtschaftlichen oder sozialen Gründen sowie auch bei Vergewaltigung sogar bis zur 24. Woche.	X
Vergewaltigung	Allerdings gestand im September 2020 die Vertreterin einer Pro-Abtreibungsorganisation: „Wir wissen, dass es in der Realität, in der wir leben, schon ein Erfolg wäre, die klassischen Fälle einzubeziehen“, also bei Vergewaltigung oder Gefahr für die Gesundheit der Mutter.	X
Vergewaltigung	Das aktuelle Urteil in Polen bestätigt ein seit 1993 geltendes Gesetz, das Abtreibung nur nach Vergewaltigung und bei Gefahr für das Leben der Mutter erlaubt, jetzt aber nicht mehr aus eugenischen Gründen.	C
Vergewaltigung	Diese Rechtfertigung geschieht bei kriminologischen Indikationen sowie Vergewaltigungen dadurch, dass schwangere Personen zum Opfer erklärt werden.	C
Vergewaltigung	Mühldorf am Inn - Frauen sollen eine Wahl haben, ob sie eine Schwangerschaft, etwa bei Risiken für Leib und Leben oder nach einer Vergewaltigung, abbrechen wollen.	C
Vergewaltigung	Oder wenn Grund zu der Annahme besteht, dass die Schwangerschaft Folge einer Vergewaltigung oder einer vergleichbaren Sexualstraftat ist.	X
Vergewaltigung	Jetzt möchte man es den Frauen verbieten, über ihre Schwangerschaft zu entscheiden, auch in sehr schweren Fällen, bei Gefahr für ihr Leben oder Vergewaltigungen“, klagt die Mühldorferin Miklosz.	C
Vergewaltigung	"Der gegensätzliche Umgang von Ohio und New York mit der Frage zeigt, wie es in den USA aussehen könnte, wenn die ""Roe vs. Wade""-Entscheidung fällt: Die einen Bundesstaaten – besonders der Süden und der mittlere Westen – könnten auf Verbote bis hin zum Totalverbot selbst bei gesundheitlichen Gefahren für die schwangere Person oder bei Schwangerschaft als Folge einer Vergewaltigung setzen, während andere Bundesländer Schwangeren den Zugang zu legaler Abtreibung sichern würden."	U
