Term	Instance	Annotation
liġi	Fil-Polonja, il-Qorti Kostituzzjonali ddeċidiet li l-liġi li tippermetti l-abort f’każ li jkun hemm difetti fil-fetu tmur kontra l-Kostituzzjoni.	C
liġi	Il-Qorti Suprema Amerikan iddikjarat liġi tal-istat ta’ Louisiana li timponi restrizzjonijiet fuq l-abort bħala liġi mhux kostituzzjonali.	C
liġi	F’din id-deċiżjoni storika, il-Prim Imħallef John Roberts ingħaqad mal-Imħallfin liberali li b’vot ta’ 5 kontra 4 li ddikjaraw il-liġi bħala waħda li tpoġġi piż bla bżonn fuq in-nisa u għalhekk mhix kostituzzjonali.	C
liġi	Il-Qorti kienet iddeċidiet kontra ukoll liġi simili li kien impona l-istat ta’ Texas fl-2016.	C
liġi	Il-liġi tal-istat tal-Louisiana li ħarġet fl-2014 kienet timponi l-ammont ta’ aborti li jistgħu billi kienet tesiġi li t-tobba li jagħmlu l-abort iridu jkunu jaħdmu mhux aktar ‘il bogħod minn 48 kilometru minn sptar.	C
liġi	Filwaqt li l-istat kien argumenta li għadda din il-liġi biex jipproteġi is-saħħa tan-nisa, kritiċi qalu li huwa rari ħafna li mara jkollha kumplikazzjonijiet minn abort.	U
liġi	L-għaqda qalet li l-gvern Ingliż saħansitra emenda l-liġi tal-abort sigur biex ma jċaħħadx lin-nisa.	C
liġi	Fi stqarrija l-koalizzjoni qalet li waqt il-pandemija tal-COVID-19, “il-gvernijiet iridu jirriformaw b’mod uġenti l-liġijiet li jpoġġu s-saħħa u l-ħajja tal-mara f’riskju.	C
liġi	L-impatt ta’ dawn il-liġijiet restrittivi issa huwa agħar bil-limitazzjonijiet fuq l-ivjaġġar u t-trasport.”	C
liġi	L-għaqda mhux governattiva ‘Doctors for Choice’ qed issejjaħ għad-dekriminalizzazzjoni tal-abort u għall-bidliet fil-liġi biex f’Malta ma jibqax ikun hawn projbizzjoni totali għas-servizzi tal-abort.	C
liġi	L-awtoritajiet ta’ dan l-istat ivvutaw favur tibdil fil-liġi biex l-abort ma jibqax possibbli biss f’każ li tabib jara li hemm riskji serji ħafna għas-saħħa tal-omm.	C
liġi	It-tibdil fil-liġi għadda b’26 vot u 14 kontra, wara diskussjoni mqanqla ħafna.	C
liġi	Il-Press Officer għall-Qorti Ewropea tal-Ġustizzja qal li din il-Qorti ma tista’ bl-ebda mod tagħti d-dritt għall-abort jew tobbliga lill-pajjiżi membri li jdaħħlu l-abort jekk l-istituzzjonijiet Ewropej ma jgħaddux liġi tal-abort bħala liġi tal-Unjoni Ewropea.	C
liġi	Dr Jacques Rene’ Zammit li jaħdem bħala Press Officer fil-Qorti Ewropea tal-Ġustizzja qal lil TVM li l-Qorti Ewropea tal-Ġustizzja ma tistax tiddikjara li l-abort hu dritt fundamentali la m’hemmx liġi tal-Unjoni dwar dan.	C
liġi	”Ir-rwol tal-Qorti fis-sistema istituzzjonali huwa li tinterpreta u tapplika l-liġi.	C
liġi	Il-liġi li tkun għaddiet via l-istituzzjonijiet l-oħra jiġifieri l-Kummissjoni, il-Kunsill, u l-Parlament, il-proċeduri li bihom joħolqu l-liġijiet Ewropej.	C
liġi	Sakemm ma jkunx hemm liġi f’dan ir-rigward, il-Qorti ma tistax toħloq drittijiet mill-arja.	U
liġi	Jiġifieri, biex nitkellem ċar, sakemm ma jgħaddix liġi fl-Ewropa li b’xi mod tagħti d-dritt għall-abort u tobbliga lill-pajjiżi membri li jkun hemm dan id-dritt, il-Qorti ma tistax bl-ebda mod iddaħħal via s-sentenzi tagħha dan id-dritt.”	U
liġi	F’Alabama għaddiet liġi li permezz tagħha ma jistax isir iktar l-abort.	C
liġi	Din il-liġi qed titqies bħala l-iktar waħda stretta fl-Istati Uniti.	U
