Term	Instance	Annotation
stupru	Kif id-deċiżjoni tidħol fis-seħħ, ikun ifisser li l-abort fil-Polonja se jkun legali biss f’każi ta’ stupru, inċest jew jekk is-saħħa tal-mara tkun f’riskju.	C
stupru	Strixxun ieħor jgħid li l-abbort f’Malta huwa illegali għal kull ċirkustanza anke f’każ ta’ stupru, inċest jew meta ħajjet il-mara tinsab f’riskju.	X
stupru	Il-liġi li rrifjutat eċċezzjonijiet għall-każi ta’ stupru jew inċest, issa se tgħaddi għand il-Gvernatur Repubblikana Kay Ivey li ma qalitx jekk hix se tiffirmaha jew le.	U
stupru	Fi stqarrija, Imperium Europa qal li l-partit huwa sensittiv għat-tbatija li jgħaddu minnha l-persuni b’diżabilità, tant li qatt ma pproponew l-ewtanasja, iżda qed jipproponi li l-omm għandha tingħata ċans tiddeċiedi jekk twaqqafx it-tqala jew iżżomm it-tarbija f’ċirkostanzi eċċezzjonali li jinkludu stupru, diżabilità severa, jew f’sitwazzjoni fejn ħajjet l-omm tkun fil-periklu.	X
stupru	Sa issa, l-abort kien isir biss f’każijiet eċċezzjonali fosthom stupru, mard ereditarju jew jekk it-tqala tpoġġi ħajjet l-omm f’periklu.	C
stupru	Tifla ta’ 11-il sena kienet fil-qofol ta’ dibattitu mqanqal fl-Argentina wara li ħarġet tqila fi stupru mis-sieħeb ta’ nannitha.	C
stupru	Il-kalvarju tat-tifla xegħel fjamma f’dan il-pajjiż fejn l-abort huwa legali biss f’każ ta’ stupru jew fejn saħħet l-omm tkun f’periklu.	C
stupru	Attwalment fl-Arġentina l-abort huwa permessibbli biss f’każ ta’ stupru jew f’każ li ħajjet l-omm tkun fil-periklu.	C
stupru	Imħallfin qalu li l-liġi kontra l-abort ma tirrispettax id-drittijiet tal-bniedem f’każijiet ta’ stupru, inċest u difett fatali fil-fetu, filwaqt li Imħallef oħra qablet biss fuq il-każ ta’ difetti fatali fil-fetu.	U
stupru	L-abort mhux permess f’każijiet ta’ stupru, inċest jew abnormalitajiet fatali fl-iżvilupp tal-fetu.	C
stupru	Il-Fondazzjoni għad-Drittijiet tan-Nisa qalet li n-nisa f’Malta għandu jkollhom aċċess sigur u legali għall-abort għall-anqas f’erba’ ċirkostanzi, li jinkludu fost oħrajn kazi ta’ stupru jew inċest u meta saħħet il-mara tkun f’periklu, meta t-tqala tkun ta’ theddida għas-saħħa fiżika u mentali tal-mara u anke meta l-fetu ma jkunx jista’ jiżviluppa.	C
stupru	Fl-Irlanda l-abort s’issa jista’ jsir biss meta ħajjet l-omm tkun f’riskju iżda mhux f’każijiet oħra fosthom l-istupru, l-abnormalità fatali tal-fetu. u l-inċest.	C
stupru	It-tifla ta’ għaxar snin li sfat vittma ta’ stupru u ma tħallitx tagħmel abort, welldet tifla anke jekk hi għadha ma tafx li tat ħajja lil persuna oħra, minħabba li qrabatha qalulha li n-nefħa f’żaqqha kienet minħabba ġebla kbira.	C
stupru	Il-Professur argumenta li l-pillola hi l-aktar effettiva jekk tittieħed fl-iqsar ħin wara l-att sesswali u argumenta li f’każ ta’ stupru, importanti li l-ispiżerija tal-Gvern tkun tista tipprovdiha.	C
stupru	Il-Kummissjoni favur id-Drittijiet tal-Bniedem fl-Irlanda ta’ Fuq fetħet il-każ biex testendi l-parametri li fihom mara tista’ tagħmel abort anki f’każi fejn il-fetu ma jifformax tajjeb, stupru jew inċest.	C
stupru	Il-liġi l-ġdida mhux ser tkompli tippermetti li jsir abort jekk it-tarbija ma tkunx riżultat ta’ stupru u anke jridu jkunu żewġ speċjalisti li jiċċertifikaw il-kondizzjoni tal-mara u mhux wieħed.	C
stupru	Id-deċiżjoni tfisser li t-terminazzjoni tat-tqala fil-Polonja hi valida biss f’każi ta’ stupru inkella fejn mara jkollha x’taqsam ma’ membru tal-istess familja.	C
