Term	Instance	Annotation
tqala	Fid-dar Tgħannieqa t’Omm, il-Fondazzjoni tgħin lit-tfajliet li jkunu għaddejjin minn diffikultajiet kbar fit-tqala bl-għan li jagħżlu l-ħajja u ma jagħmlux abort.	C
tqala	Iċ-Chairperson tal-Life Network Foundation, Dr Miriam Sciberras, qalet li minbarra li ngħatat għajnuna lil 5 tfajliet li għexu hemm u kellhom it-trabi, il-Fondazzjoni tgħin ukoll lin-nisa li jkunu għaddejjin minn kriżi fit-tqala b’servizzi ta’ appoġġ.	C
tqala	“Aħna ma ngħinnux biss in-nisa ġo din id-dar imma anke permezz tal-lifeline tagħna ngħinnu lil kull mara li tkun għaddejja minn kriżi ta’ tqala, li jkollha dijanjosi negattiva fit-tqala u tkun tixtieq min jagħmel din il-mixja magħha, u ngħinnu wkoll nisa li sfortunatament ikunu għamlu abort u jkunu jixtiequ jirkupraw mit-trawma tal-abort.	C
tqala	Fi stqarrija l-ASN qalet li dawn il-figuri jixhdu li l-illegalità tal-abort f’Malta ma jwaqqafx lin-nisa milli jirrikorru għalih, iżda sempliċiment jisforza nisa tqal biex isiefru u jfittxu s-servizz barra, waqt li dawk b’inqas finanzi jissograw akkużi kriminali billi jixtru l-pirmli mill-internet jew ipoġġu saħħithom fil-periklu billi jippruvaw itemmu t-tqala waħedhom.	C
tqala	Bl-emendi approvati, mara se tkun tista’ tagħmel abort sal-ewwel 22 ġimgħa tat-tqala jew aktar tard imma bl-approvazzjoni ta’ żewġ tobba.	C
tqala	Stampat f’moħħ il-mara mument meta snin ilu ġiet stuprata minn żewġha, li fit-tqala bagħatha tagħmel abort, u meta kienet fi triqitha għall-intervent dawret ir-rotta u ma daħlitx fil-klinika.	C
tqala	Qalet li wara 6 xhur tqala, żewġha ta l-flus biex tmur tagħmel abort.	C
tqala	Kienet qalet li bħala Fondazzjoni hija toffri servizzi biex tipprovdi appoġġ lin-nisa tul it-tqala biex jagħmlu l-aħjar għażliet għalihom u għat-tarbija tagħhom.	C
tqala	Il-liġi, li ġiet iffirmata mill-Gvernatur tal-istat, tagħmel l-abort illegali f’ħafna każijiet meta jkunu għaddew sitt ġimgħat mit-tqala.	C
tqala	Imperium Europa ddikjara li ma jrid joqtol tfal b’diżabilità iżda ma jridx li jitwieldu iktar billi jagħti l-għażla lill-ommijiet biex itemmu t-tqala tagħhom jekk ikunu jafu li t-tarbija tkun b’diżabilità fost l-oħrajn.	C
tqala	Fi stqarrija, Imperium Europa qal li l-partit huwa sensittiv għat-tbatija li jgħaddu minnha l-persuni b’diżabilità, tant li qatt ma pproponew l-ewtanasja, iżda qed jipproponi li l-omm għandha tingħata ċans tiddeċiedi jekk twaqqafx it-tqala jew iżżomm it-tarbija f’ċirkostanzi eċċezzjonali li jinkludu stupru, diżabilità severa, jew f’sitwazzjoni fejn ħajjet l-omm tkun fil-periklu.	O
tqala	It-tobba, li f’dan l-istadju ma xandrux isimhom, qalu li jinsabu mħassba bis-sitwazzjoni legali preżenti, li ma tħallix lin-nisa f’Malta jagħżlu l-abort fl-ebda ċirkostanza, lanqas meta t-tqala tkun ta’ dannu għas-saħħa fiżika jew mentali tagħhom.	O
tqala	Sa issa, l-abort kien isir biss f’każijiet eċċezzjonali fosthom stupru, mard ereditarju jew jekk it-tqala tpoġġi ħajjet l-omm f’periklu.	C
tqala	Dr Dibben qalet li trid issir iktar diskussjoni dwar iċ-ċirkustanzi li għandhom jagħtu dritt lill-mara biex ittemm it-tqala tagħha, iżda insistiet  li Malta għandha tkun konformi mal-istandards internazzjonali dwar id-drittijiet tal-bniedem.	O
tqala	It-talba tat-tifla kienet skjetta mal-ewwel – riedet li ttemm it-tqala iżda t-talba tagħha damet tkarkar iktar minn ħames ġimgħat, sakemm it-tobba ddeċidew li jagħmluha ċesarja minħabba r-riskju tal-kumplikazzjoni li abort jista’ jkollu fuqha.	C
tqala	Dan il-każ fetaħ beraħ id-dibatittu fl-Arġentina sitt xhur wara li l-parlament ivvota kontra abbozz ta’ liħi biex l-abort fl-Arġentina jkun permessibli fl-ewwel 14-il ġimgħa tat-tqala.	C
tqala	Id-Deputat Prim Ministru qal “dan is-survey jagħmel enfasi fuq is-servizzi tal-abort u f’Malta m’għandniex, u allura jpoġġuna lura sew, b’dik biss inaqqsuna b’għaxar postijiet u peress li ma nagħmlux terminazzjon ta’ tqala jkollna tfal bi problemi mediċi serji..u din titfagħna lura”.	C
tqala	Dwar l-abort ir-rapport jikkritika lil Malta għall-fatt li hija waħda mill-erba’ pajjiżi Ewropej li m’għandhiex l-abort, u jgħid li dan iwassal għal riskji tas-saħħa fin-nisa meta jtemmu t-tqala.	C
tqala	Kompliet tgħid li bħala Fondazzjoni hija toffri servizzi biex tipprovdi appoġġ lin-nisa tul it-tqala biex jagħmlu l-aħjar għażliet għalihom u għat-tarbija tagħhom.	C
tqala	Il-liġi proposta kienet se tillegalizza l-abort fl-ewwel erbatax-il ġimgħa tat-tqala.	C
