Term	Instance	Annotation
verkrachting	Dat betekent in de praktijk dat een vrouw alleen nog een foetus kan laten weghalen als de zwangerschap voor haar levensbedreigend is of als ze door verkrachting of incest zwanger is geraakt.	C
verkrachting	De Braziliaanse wet staat abortus toe voor vrouwen die slachtoffer zijn van verkrachting, toch kwam het meisje meer dan een week klem te zitten tussen weigerende artsen en religieuze fanaten die haar tot crimineel bombardeerden.	C
verkrachting	Dat een deel van de bevolking gelooft dat abortus erger is dan verkrachting’, zei Viana tegen de Britse krant.	O
verkrachting	Zwangerschapsafbreking mag alleen als de gezondheid van de moeder in gevaar is, of na incest of verkrachting.	C
verkrachting	Tot nu toe was een abortus enkel toegestaan na verkrachting, incest of als het leven van een zwangere persoon in gevaar komt, of als er een ernstige geboorteafwijking is vastgesteld.	C
verkrachting	Abortus is er enkel toegestaan in geval van incest of verkrachting, als de zwangere persoon in levensgevaar verkeert.	C
verkrachting	In 2012 oordeelde het Europees Hof voor de Rechten van de Mens dat Polen de mensenrechten schond van een meisje dat op 14-jarige leeftijd na verkrachting zwanger was geraakt.	C
verkrachting	In Ierland was abortus tot twee jaar terug bij wet verboden – zelfs in het geval van verkrachting, incest of ernstige lichamelijke afwijkingen.	C
verkrachting	In Spanje probeerde de christelijk-conservatieve partij Partido Popular in 2014 het recht op abortus te beperken tot personen die zwanger raakten na verkrachting of wier gezondheid bedreigd wordt.	C
verkrachting	Abortus is slechts toegestaan in drie situaties: als de zwangerschap het resultaat is van verkrachting, als het leven van de moeder wordt bedreigd en als de foetus ernstig is beschadigd.	C
verkrachting	na een verkrachting, als het leven van de moeder gevaar liep, of als de foetus zwaar beschadigd was.	X
verkrachting	In Polen is abortus alleen nog toegestaan als de geboorte de gezondheid van de moeder in gevaar brengt of het ongeboren kind het gevolg is van incest of een verkrachting.	C
verkrachting	dat kan alleen nog als de zwangerschap voor de vrouw levensbedreigend is of als ze door verkrachting of incest zwanger is geraakt.	X
verkrachting	Denk aan een rechterlijke machtiging voor abortus in geval van verkrachting of de goedkeuring door een medische commissie voor een therapeutische abortus.	X
verkrachting	Als je echt vindt dat het beschermwaardig leven vanaf de conceptie begint, dan mag je geen uitzonderingen maken, ook niet in geval van verkrachting, of als het leven van de vrouw gevaar loopt.	O
verkrachting	Zo mag je in het Zuid-Amerikaanse land abortus plegen als het leven van de moeder in gevaar is en na een verkrachting	C
verkrachting	Zo mag je in het Zuid-Amerikaanse land namelijk abortus plegen als er sprake is van een open schedel bij de ongeboren baby, als het leven van de moeder in gevaar is en na een verkrachting.	C
verkrachting	Overigens is in dat land abortus in alle omstandigheden verboden, ook na verkrachting.	X
verkrachting	Een abortus na een verkrachting kan nooit een grotere misdaad zijn dan de verkrachting zelf	O
verkrachting	Uitzonderingen worden dan nog wel gemaakt als de geboorte een gevaar voor de gezondheid van de moeder zou betekenen of als het ongeboren kind het product is van incest of van verkrachting.	C
