Term	Instance	Annotation
zwangerschap	Volgens het oordeel van de rechter worden zwangere vrouwen door de demonstranten in hun vrijheid gehinderd, ‘in het bijzonder in het ongestoord gebruik maken van hun rechten uit de Wet afbreking zwangerschap’.	O
zwangerschap	Want vaak worden wij zo geframed, alsof wij vinden dat iedereen die zwanger is diens zwangerschap moet afbreken.	O
zwangerschap	En voor het verplichten van het uitdragen van iedere zwangerschap.	X
zwangerschap	Een nieuwe wet staat vrouwen in Nieuw-Zeeland toe hun zwangerschap tot en met twintig ­weken te ­beëindigen.	C
zwangerschap	Zo was abortus toegestaan als de zwangerschap gevaarlijk was voor de ‘mentale of fysieke gezondheid’ van een vrouw.	C
zwangerschap	Door de hervorming hoeft een vrouw niet langer langs twee artsen om een zwangerschap korter dan twintig weken te beëindigen.	C
zwangerschap	Zo graag wilde ze van de zwangerschap af.	C
zwangerschap	Maar ook: vijf dagen langer zwangerschapshormonen in haar lijf, waar ze achteraf van moest herstellen.	C
zwangerschap	Dat betekent in de praktijk dat een vrouw alleen nog een foetus kan laten weghalen als de zwangerschap voor haar levensbedreigend is of als ze door verkrachting of incest zwanger is geraakt.	C
zwangerschap	Natuurlijk noem je een beginnende zwangerschap ‘ je eigen kindje’ als je kinderen wil, maar als je die niet wil of nu niet, maar later wel, je de pil bent vergeten, het condoom is geknapt of als je – godbetert – verkracht bent, dan komt het niet in je op om het klompje embryonale cellen dat zich geheel zelfstandig in jouw baarmoeder heeft genesteld een eigen kindje te noemen.	O
zwangerschap	FIOM is specialist in zwangerschapsvraagstukken.	C
zwangerschap	Sinds 1984 hebben vrouwen in Nederland het wettelijke recht in noodsituaties hun zwangerschap te laten beëindigen.	C
zwangerschap	Wereldwijd worden jaarlijks ongeveer 54 miljoen zwangerschappen (1 op de 4) afgebroken.	C
zwangerschap	Geen enkele vorm van anticonceptie biedt 100 procent garantie op voorkoming van een zwangerschap.	C
zwangerschap	Artsen bevestigden de zwangerschap, waarop zij vertelde sinds haar zesde te zijn verkracht door haar oom.	C
zwangerschap	Het Amerikaanse hooggerechtshof oordeelde in 1973 dat ‘het recht op privacy (…) breed genoeg is om ook de beslissing te omvatten of een vrouw haar zwangerschap wil beëindigen’.	C
zwangerschap	Het werpt een onnodige barrière op voor vrouwen in nood bij onbedoelde zwangerschappen.	X
zwangerschap	Abortussen zijn in Slowakije toegestaan ​​tijdens de eerste twaalf weken van de zwangerschap.	C
zwangerschap	Ook zou het zorgwekkend lastig worden voor medisch personeel om informatie over abortus te geven doordat zogenaamde ‘reclame’ over beëindiging van de zwangerschap zou worden verboden.	C
zwangerschap	Tijdens de begeleiding naar de kliniek is het niet de bedoeling vragen te stellen over de zwangerschap of abortus, en ook geen persoonlijke ervaringen te delen.	C
